iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
MEX,2017,1190721475906.0,123400057.0,0.0,27.80558052161193,18.63094213945166,117
MHL,2017,213700000.0,46529.0,0.0,19.180083724968835,10.747852544838695,118
MKD,2017,11307067069.6658,1898657.0,0.0,23.148693771664522,14.456657878788679,119
MLI,2017,18308362040.0521,19813011.0,0.0,23.630623734561517,16.801849451539162,120
MLT,2017,14161366724.1955,467106.0,0.0,23.373783440695142,13.054313632462259,121
MMR,2017,66053040475.0257,51894938.0,0.0,24.91372389980039,17.764731828930408,122
MNE,2017,4803962015.62122,625982.0,0.0,22.292706834517823,13.34707849316397,123
MNG,2017,11480847740.736,3148917.0,0.0,23.163946070210372,14.962569459731412,124
MNP,2017,1560000000.0,49959.0,0.0,21.16795165884888,10.818977964239513,125
MOZ,2017,13264640645.7768,28166393.0,0.0,23.308367733839486,17.153640123139063,126
MRT,2017,6800135898.28827,4210600.0,0.0,22.64020843411822,15.253115950814408,127
MUS,2017,13896938315.2799,1264887.0,0.0,23.354934387805322,14.05049413867467,128
MWI,2017,8943543793.5839,18039715.0,0.0,22.914197745191522,16.70808632968104,129
MYS,2017,319109094160.343,32355644.0,0.0,26.488798869233293,17.292299061369842,130
NAM,2017,12895153370.9132,2506853.0,0.0,23.280117370114624,14.734539138508017,131
NCL,2017,9174048681.98577,283546.0,0.0,22.939644539733184,12.55513317324161,132
NER,2017,11185104251.6943,21435446.0,0.0,23.1378487526045,16.880556511540654,133
NGA,2017,375745731053.427,200254579.0,0.0,26.65217850438236,19.115100015061934,134
NIC,2017,13785893007.4769,6316231.0,0.0,23.346911660497476,15.658633385791992,135
NLD,2017,848233537845.884,17131296.0,0.0,27.46642183322748,16.65641758255373,136
NOR,2017,401745275035.261,5276968.0,0.0,26.719084080539705,15.478862437820617,137
NPL,2017,28971588940.364,28011258.0,0.0,24.089581495044225,17.148117094458925,138
NRU,2017,109355638.866955,11324.0,0.0,18.51011588004378,9.334767950351235,139
NZL,2017,206745969246.073,4813600.0,0.0,26.054756674878174,15.38695601063298,140
OMN,2017,80856697009.1027,4537396.0,0.0,25.11594425206975,15.327864057573082,141
PAK,2017,339205534861.1,223273967.0,0.0,26.54987205813109,19.223910131420755,142
PAN,2017,64327688826.3137,4098707.0,0.0,24.887255994898407,15.226182360061962,143
PER,2017,211007984080.911,31324637.0,0.0,26.075161808957354,17.259915502414668,144
PHL,2017,328480736802.76,108119693.0,0.0,26.517744033284902,18.498749449179837,145
PLW,2017,292148590.087891,17812.0,0.0,19.492773104388966,9.787683806792485,146
PNG,2017,22742699138.356,9178714.0,0.0,23.84751001388712,16.032397774585302,147
POL,2017,528356676667.211,37974826.0,0.0,26.993037416581867,17.45243405080703,148
PRT,2017,220862990767.229,10300300.0,0.0,26.120808394939928,16.147683676073843,149
PRY,2017,38997129473.5613,6338660.0,0.0,24.38675387715083,15.662178105369644,150
PSE,2017,16128000000.0,4454805.0,0.0,23.503822728897372,15.309494071361987,151
PYF,2017,5833352692.7995,280087.0,0.0,22.486857748139318,12.542859118488263,152
